Column,Sampling time (CT/ZT),Time (24hr modulus),Study Accession,Authors,Photoperiod,Platform
0,24,0,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
1,24,0,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
2,26,2,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
3,26,2,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
4,28,4,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
5,28,4,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
6,30,6,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
7,30,6,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
8,32,8,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
9,32,8,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
10,34,10,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
11,34,10,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
12,36,12,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
13,36,12,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
14,38,14,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
15,38,14,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
16,40,16,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
17,40,16,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
18,42,18,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
19,42,18,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
20,44,20,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
21,44,20,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
22,46,22,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
23,46,22,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
24,48,0,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
25,48,0,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
26,50,2,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
27,50,2,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
28,52,4,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
29,52,4,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
30,54,6,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
31,54,6,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
32,56,8,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
33,56,8,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
34,58,10,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
35,58,10,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
36,60,12,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
37,60,12,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
38,62,14,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
39,62,14,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
40,64,16,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
41,64,16,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
42,66,18,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
43,66,18,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
44,68,20,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
45,68,20,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
46,70,22,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
47,70,22,GSE123654,Greenham et al,LL,Illumina HiSeq 2500 PE 101bp
