Column,Sampling time (CT/ZT),Time (24hr modulus),Study Accession,Authors,Photoperiod,Platform
0,0,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
1,0,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
2,0,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
3,4,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
4,4,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
5,4,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
6,8,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
7,8,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
8,8,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
9,12,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
10,12,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
11,12,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
12,16,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
13,16,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
14,16,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
15,20,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
16,20,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
17,20,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
18,24,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
19,24,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
20,24,0,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
21,28,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
22,28,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
23,28,4,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
24,32,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
25,32,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
26,32,8,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
27,36,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
28,36,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
29,36,12,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
30,40,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
31,40,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
32,40,16,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
33,44,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
34,44,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
35,44,20,GSE94228,Li et al,LL,Illumina HiSeq PE 100bp
