Column,Sampling time (CT/ZT),Time (24hr modulus),Study Accession,Authors,Photoperiod,Platform
0,24,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
1,24,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
2,24,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
3,28,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
4,28,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
5,28,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
6,32,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
7,32,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
8,32,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
9,36,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
10,36,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
11,36,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
12,40,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
13,40,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
14,40,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
15,44,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
16,44,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
17,44,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
18,48,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
19,48,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
20,48,0,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
21,52,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
22,52,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
23,52,4,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
24,56,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
25,56,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
26,56,8,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
27,60,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
28,60,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
29,60,12,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
30,64,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
31,64,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
32,64,16,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
33,68,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
34,68,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
35,68,20,-,Rees et al,LL,Illumina NovaSeq S2 PE 150bp
