gene,orthologs
TraesCS2B02G516800,AT5G11920
TraesCS2B02G516800,AT3G13790
TraesCS2B02G516800,AT1G55120
TraesCS2B02G516800,AT3G13784
TraesCS2B02G557600,AT3G14250
TraesCS6A02G353800,AT1G16180
TraesCS7D02G209800,AT1G68640
TraesCS5A02G158000,AT3G15580
TraesCS5A02G158000,AT3G06420
TraesCS6A02G215900,AT3G26380
TraesCS1D02G267600,AT1G77410
TraesCS3B02G271600,AT2G38020
TraesCS1A02G176000,AT5G51480
TraesCS1A02G176000,AT4G12420
TraesCS1A02G176000,AT4G25240
TraesCS6B02G357600,AT1G68150
TraesCS5B02G464500,AT2G42520
TraesCS5B02G464500,AT3G58510
TraesCS5B02G464500,AT3G58570
TraesCS5A02G302500,AT5G13210
TraesCS5A02G302500,AT5G43400
TraesCS5A02G302500,AT5G43390
TraesCS5A02G302500,AT3G24780
TraesCS7D02G477500,AT1G11130
TraesCS7D02G477500,AT4G03390
TraesCS7D02G477500,AT2G20850
TraesCS4A02G414200,AT5G41340
TraesCS4A02G414200,AT1G63800
TraesCS2D02G258700,AT3G50430
TraesCS1B02G441600,AT5G39680
TraesCS4B02G054200,AT3G09480
TraesCS4B02G054200,AT2G28720
TraesCS4B02G054200,AT3G46030
TraesCS4B02G054200,AT3G53650
TraesCS4B02G054200,AT1G07790
TraesCS4B02G054200,AT5G59910
TraesCS4B02G054200,AT2G37470
TraesCS4B02G054200,AT5G02570
TraesCS4B02G054200,AT3G45980
TraesCS4B02G054200,AT5G22880
TraesCS1B02G160900,AT2G18510
TraesCS7A02G099900,AT3G16370
TraesCS3B02G249800,AT3G25910
TraesCS3B02G249800,AT2G26050
TraesCS3B02G249800,AT1G80220
TraesCS3B02G249800,AT1G15430
TraesCS7D02G354900,AT1G14390
TraesCS7D02G354900,AT2G02780
TraesCS3B02G549000,AT3G01420
TraesCS6B02G151500,AT2G35460
TraesCS6B02G151500,AT5G06320
TraesCS6B02G151500,AT1G32270
TraesCS6B02G151500,AT2G35980
TraesCS6B02G151500,AT3G11650
TraesCS6A02G180700,AT2G33840
TraesCS6A02G180700,AT1G28350
TraesCS6B02G291100,AT2G42670
TraesCS6B02G291100,AT3G58670
TraesCS3A02G257700,AT1G02510
TraesCS3A02G298600,AT1G31300
TraesCS2D02G349000,AT1G56680
TraesCS2D02G349000,AT2G43610
TraesCS2D02G349000,AT2G43600
