gene,orthologs
CBF1_halleri,CBF1_halleri
CBF2_halleri,CBF2_halleri
CBF3_halleri,CBF3_halleri
Ahg311229,AT5G61330
Ahg311236,AT5G52180
Ahg311240,AT1G02060
Ahg311256,AT1G01880
Ahg311263,AT1G01790
Ahg311286,AT1G01510
Ahg311290,AT1G01460
Ahg311305,AT1G01290
Ahg311310,AT1G19060
Ahg311313,AT1G01210
Ahg311315,AT1G01190
Ahg311317,AT1G01170
Ahg311321,AT5G47170
Ahg311324,AT1G01100
Ahg311334,AT3G04420
Ahg311338,AT1G02280
Ahg311357,AT1G02475
Ahg311362,AT1G02575
Ahg311385,AT1G02840
Ahg311398,AT1G02980
Ahg311401,AT1G03010
Ahg311407,AT1G03060
Ahg311412,AT1G03103
Ahg311422,AT1G03210
Ahg311427,AT1G03270
Ahg311431,AT1G03300
Ahg311447,AT1G03490
Ahg311450,AT1G03530
Ahg311453,AT1G03560
Ahg311459,AT1G03650
Ahg311464,AT1G03720
Ahg311471,AT1G03810
Ahg311479,AT1G03905
Ahg311482,AT1G03920
Ahg311505,AT1G04180
Ahg311525,AT1G04390
Ahg311551,AT1G04640
Ahg311569,AT1G04840
Ahg311603,AT1G05170
Ahg311616,AT1G05290
Ahg311617,AT1G05291
Ahg311624,AT3G03360
Ahg311660,AT1G05790
Ahg311665,AT1G05830
Ahg311675,AT1G05920
Ahg311676,AT1G05930
Ahg311681,AT1G06020
Ahg311691,AT1G06130
Ahg311694,AT1G06150
Ahg311699,AT1G06210
Ahg311711,AT1G06330
Ahg311738,AT1G06670
Ahg311741,AT1G06710
Ahg311756,AT1G06910
Ahg311762,AT1G06970
Ahg311764,AT1G06990
Ahg311783,AT1G07200
Ahg311790,AT1G07270
Ahg311800,AT1G07380
Ahg311805,AT1G07473
Ahg311814,AT1G07620
Ahg311843,AT1G07900
Ahg311844,AT2G45330
Ahg311847,AT1G07920
Ahg311880,AT2G27600
Ahg311885,AT1G08320
Ahg311903,AT1G08520
Ahg311904,AT1G08530
Ahg311921,AT1G08695
Ahg311923,AT1G08710
Ahg311931,AT1G08820
Ahg311954,AT1G09080
Ahg311956,AT1G09100
Ahg311961,AT1G09170
Ahg311964,AT1G09190
Ahg311978,AT1G09350
Ahg311987,AT1G09440
Ahg311988,AT1G09450
Ahg311997,AT1G09550
Ahg312011,AT1G09720
Ahg312030,AT1G09870
Ahg312033,AT1G09920
Ahg312036,AT1G09932
Ahg312053,AT1G10095
Ahg312054,AT1G10110
Ahg312058,AT1G10155
Ahg312077,AT1G10385
Ahg312088,AT1G10490
Ahg312091,AT1G10520
Ahg312099,AT1G10585
Ahg312113,AT1G10700
Ahg312115,AT1G10717
Ahg312119,AT1G10745
Ahg312123,AT1G10790
Ahg312128,AT4G13780
Ahg312133,AT1G10880
Ahg312135,AT1G10890
Ahg312165,AT1G11250
Ahg312180,AT1G11480
Ahg312181,AT1G11490
Ahg312200,AT1G11720
Ahg312202,AT1G11740
Ahg312221,AT1G11920
Ahg312224,AT1G11940
Ahg312226,AT1G11960
Ahg312231,AT1G12040
Ahg312255,AT1G12290
Ahg312278,AT1G12560
Ahg312283,AT1G12630
Ahg312293,AT1G12740
Ahg312350,AT2G31432
Ahg312360,AT1G13520
Ahg312367,AT1G13607
Ahg312374,AT1G13650
Ahg312387,AT1G13810
Ahg312395,AT1G13920
Ahg312397,AT1G13940
Ahg312408,AT1G14060
Ahg312409,AT1G14080
Ahg312416,AT1G14180
Ahg312421,AT1G14220
Ahg312429,AT1G14310
Ahg312432,AT1G14340
Ahg312453,AT1G14550
Ahg312456,AT1G14580
Ahg312467,AT1G14690
Ahg312475,AT1G14760
Ahg312479,AT1G14810
Ahg312489,AT1G14930
Ahg312501,AT1G15050
Ahg312503,AT1G15080
Ahg312521,AT1G15290
Ahg312524,AT1G15330
Ahg312525,AT1G15340
Ahg312533,AT1G15415
Ahg312551,AT1G15600
Ahg312568,AT1G15800
Ahg312580,AT1G15900
Ahg312582,AT1G15920
Ahg312583,AT1G15930
Ahg312599,AT1G16190
Ahg312603,AT1G16260
Ahg312606,AT1G16290
Ahg312610,AT1G16330
Ahg312611,AT1G16340
Ahg312615,AT1G16380
Ahg312617,AT1G16400
Ahg312620,AT1G16430
Ahg312638,AT1G16640
Ahg312643,AT1G16705
Ahg312649,AT1G16760
Ahg312653,AT1G16800
Ahg312655,AT1G16820
Ahg312664,AT1G16916
Ahg312668,AT1G16980
Ahg312683,AT1G17160
Ahg312706,AT1G17380
Ahg312743,AT1G17770
Ahg312744,AT1G17790
Ahg312752,AT1G17880
Ahg312759,AT1G17970
Ahg312763,AT1G18030
Ahg312784,AT1G18300
Ahg312791,AT1G18390
Ahg312807,AT1G18580
Ahg312817,AT1G18690
Ahg312838,AT1G18940
Ahg312852,AT1G19130
Ahg312861,AT1G19230
Ahg312863,AT1G19250
Ahg312882,AT1G19470
Ahg312884,AT1G19490
Ahg312889,AT1G19580
Ahg312915,AT1G19870
Ahg312922,AT1G19950
Ahg312925,AT1G19970
Ahg312926,AT1G19980
Ahg312936,AT1G20080
Ahg312939,AT1G20110
Ahg312940,AT1G20135
Ahg312946,AT1G20220
Ahg312965,AT1G20480
Ahg312968,AT1G20530
Ahg312970,AT1G20550
Ahg312977,AT1G20630
Ahg312981,AT1G20710
Ahg313001,AT1G20925
Ahg313015,AT1G21090
Ahg313019,AT1G21160
Ahg313028,AT1G21350
Ahg313033,AT1G21400
Ahg313035,AT1G21430
Ahg313041,AT1G21490
Ahg313049,AT1G21580
Ahg313056,AT1G21650
Ahg313065,AT1G21722
Ahg313074,AT1G21830
Ahg313077,AT1G21850
Ahg313079,AT1G21870
Ahg313081,AT1G21890
Ahg313098,AT1G22100
Ahg313100,AT1G22120
Ahg313103,AT1G22150
Ahg313108,AT1G22210
Ahg313117,AT1G22300
Ahg313119,AT1G22330
Ahg313121,AT1G22350
Ahg313123,AT1G22380
Ahg313132,AT1G22470
Ahg313173,AT1G22960
Ahg313192,AT1G23180
Ahg313201,AT1G23270
Ahg313215,AT1G23450
Ahg313224,AT1G23580
Ahg313226,AT1G23640
Ahg313228,AT1G23690
Ahg313236,AT1G23790
Ahg313246,AT1G23935
Ahg313252,AT1G24060
Ahg313253,AT1G24070
Ahg313254,AT1G24090
Ahg313260,AT1G24150
Ahg313265,AT1G24210
Ahg313276,AT1G27170
Ahg313310,AT1G26799
Ahg313311,AT1G26790
Ahg313324,AT1G26665
Ahg313341,AT1G26480
Ahg313345,AT1G26440
Ahg313365,AT1G26140
Ahg313369,AT1G68750
Ahg313371,AT1G26100
Ahg313379,AT1G25500
Ahg313386,AT1G25425
Ahg313393,AT1G25375
Ahg313414,AT1G24735
Ahg313416,AT1G24650
Ahg313424,AT1G24570
Ahg313461,AT1G27380
Ahg313471,AT1G27461
Ahg313478,AT1G27540
Ahg313480,AT1G27595
Ahg313509,AT1G28040
Ahg313512,AT1G28080
Ahg313537,AT1G28335
Ahg313543,AT1G28395
Ahg313572,AT1G29040
Ahg313612,AT1G29590
Ahg313613,AT1G29600
Ahg313633,AT1G29860
Ahg313639,AT1G29940
Ahg313641,AT1G29960
Ahg313679,AT1G30410
Ahg313692,AT1G30520
Ahg313693,AT1G30530
Ahg313702,AT1G30640
Ahg313705,AT1G30670
Ahg313733,AT1G30900
Ahg313743,AT1G31040
Ahg313748,AT5G45400
Ahg313750,AT1G31690
Ahg313754,AT1G31740
Ahg313803,AT1G32300
Ahg313807,AT1G32350
Ahg313816,AT1G32450
Ahg313821,AT1G32510
Ahg313836,AT1G32750
Ahg313838,AT1G32763
Ahg313839,AT1G32770
Ahg313855,AT1G33030
Ahg313859,AT1G33060
Ahg313871,AT1G33260
Ahg313884,AT1G33430
Ahg313906,AT1G33820
Ahg313907,AT1G33870
Ahg313911,AT1G33900
Ahg313917,AT1G34010
Ahg313922,AT1G34065
Ahg313927,AT1G34140
Ahg313929,AT1G34160
Ahg313937,AT1G14650
Ahg313939,AT1G34270
Ahg313950,AT1G34540
Ahg313952,AT1G34570
Ahg313960,AT1G31260
Ahg313968,AT1G31175
Ahg313975,AT1G31530
Ahg313993,AT1G31320
Ahg313994,AT1G31310
Ahg313998,AT1G34770
Ahg314007,AT5G02870
Ahg314017,AT1G35410
Ahg314020,AT1G35435
Ahg314037,AT1G36340
Ahg314047,AT1G36070
Ahg314052,AT5G27470
Ahg314056,AT1G36340
Ahg314057,AT1G36380
Ahg314063,AT1G36980
Ahg314088,AT1G43020
Ahg314093,AT1G43245
Ahg314107,AT1G72270
Ahg314116,AT1G44010
Ahg314121,AT1G44130
Ahg314128,AT1G44318
Ahg314132,AT1G44542
Ahg314159,AT1G45191
Ahg314163,AT1G45233
Ahg314177,AT2G19360
Ahg314186,AT1G47271
Ahg314187,AT1G47278
Ahg314188,AT1G47280
Ahg314194,AT3G61350
Ahg314206,AT3G24580
Ahg314222,AT1G47760
Ahg314223,AT1G47765
Ahg314227,AT1G47840
Ahg314229,AT1G47870
Ahg314235,AT1G47990
Ahg314240,AT1G48060
Ahg314249,AT1G48140
Ahg314252,AT1G48175
Ahg314253,AT1G48180
Ahg314258,AT1G48230
Ahg314259,AT1G48240
Ahg314261,AT1G48268
Ahg314295,AT1G48605
Ahg314297,AT1G48625
Ahg314320,AT1G48910
Ahg314327,AT1G48980
Ahg314341,AT1G49180
Ahg314348,AT1G49270
Ahg314350,AT1G49310
Ahg314357,AT3G46220
Ahg314359,AT1G49405
Ahg314367,AT3G48235
Ahg314370,AT1G49475
Ahg314380,AT1G49610
Ahg314403,AT1G49900
Ahg314408,AT1G49975
Ahg314419,AT1G09620
Ahg314421,AT1G50170
Ahg314430,AT1G50310
Ahg314445,AT1G50570
Ahg314447,AT1G50590
Ahg314462,AT1G50790
Ahg314474,AT1G51010
Ahg314476,AT3G20650
Ahg314496,AT1G51340
Ahg314503,AT1G51405
Ahg314515,AT1G51530
Ahg314546,AT1G51960
Ahg314547,AT1G51965
Ahg314552,AT1G52060
Ahg314555,AT1G52150
Ahg314605,AT1G52750
Ahg314636,AT1G53110
Ahg314643,AT1G53190
Ahg314644,AT1G53200
Ahg314652,AT1G53282
Ahg314657,AT1G53325
Ahg314659,AT1G53345
Ahg314675,AT1G53590
Ahg314676,AT1G53600
Ahg314680,AT1G53640
Ahg314697,AT1G53840
Ahg314700,AT1G53870
Ahg314703,AT1G53920
Ahg314706,AT1G53980
Ahg314711,AT1G54050
Ahg314716,AT1G54095
Ahg314728,AT1G54210
Ahg314742,AT1G55140
Ahg314745,AT2G15025
Ahg314752,AT1G55250
Ahg314757,AT1G55325
Ahg314765,AT1G55475
Ahg314773,AT3G13410
Ahg314794,AT1G55800
Ahg314795,AT1G55820
Ahg314800,AT1G55870
Ahg314809,AT1G55960
Ahg314839,AT5G19820
Ahg314862,AT1G54680
Ahg314874,AT1G54870
Ahg314877,AT5G48990
Ahg314878,AT1G54930
Ahg314880,AT1G54960
Ahg314892,AT5G35540
Ahg314895,AT2G46450
Ahg314911,AT1G56410
Ahg314913,AT1G56418
Ahg314925,AT1G42700
Ahg314930,AT1G56570
Ahg314947,AT3G21960
Ahg314948,AT1G57560
Ahg314953,AT1G57670
Ahg314966,AT1G57770
Ahg314969,AT1G64710
Ahg314991,AT3G23660
Ahg314992,AT1G64480
Ahg315007,AT1G64320
Ahg315014,AT1G64200
Ahg315015,AT1G64185
Ahg315017,AT1G64170
