gene,orthologs
Bra021453,AT2G48090
Bra018605,AT5G20490
Bra012679,AT4G11000
Bra035338,AT5G43010
Bra027712,AT1G64640
Bra024958,AT5G47180
Bra033472,AT3G51890
Bra008601,AT5G16720
Bra016760,AT1G12680
Bra029220,AT2G14378
Bra024906,AT2G01100
Bra036942,AT1G44160
Bra024969,AT5G47030
Bra035237,AT4G11270
Bra000675,AT4G09160
Bra000219,AT2G41210
Bra031227,AT2G44700
Bra032711,AT4G23250
Bra018493,AT4G04540
Bra021048,AT4G17500
Bra020993,AT4G18760
Bra040413,AT3G04890
Bra025783,AT1G19940
Bra021400,AT2G47510
Bra030647,AT1G06280
Bra030735,AT1G08620
Bra018571,AT1G09260
Bra003093,AT5G52980
Bra037913,AT4G10340
Bra030949,AT1G53250
Bra028696,AT5G07480
Bra030553,AT1G04040
Bra028256,AT5G51490
Bra019606,AT3G49650
Bra025800,AT1G20190
Bra022069,AT4G16890
Bra008140,AT1G74190
Bra031865,AT5G65320
Bra030330,AT5G40700
Bra020164,AT5G21280
Bra006257,AT5G14490
Bra031455,AT1G61105
Bra029368,AT5G23370
Bra014571,AT3G58410
Bra002389,AT2G07760
Bra030321,AT2G21090
Bra021718,AT2G31865
Bra015570,AT1G07280
Bra028721,AT5G06700
Bra006275,AT5G14950
Bra000697,AT4G10020
Bra027507,AT5G43850
Bra008628,AT5G16270
Bra000714,AT4G10570
Bra006993,AT3G53360
Bra005873,AT5G05990
Bra039021,AT2G19800
Bra017446,AT2G01520
Bra003634,AT1G16825
Bra037176,AT5G66390
Bra031346,AT3G22275
Bra016572,AT1G18040
Bra022048,AT5G46600
Bra037837,AT5G67580
Bra000863,AT4G02790
Bra029175,AT5G51410
Bra024932,AT5G47590
Bra036721,AT2G19470
Bra007959,AT1G71060
Bra024633,AT1G24090
Bra003594,AT1G80940
Bra003086,AT5G53050
Bra022677,AT5G53870
Bra014752,AT3G55370
Bra031653,AT1G08990
Bra008571,AT5G17210
Bra007841,AT2G24550
Bra024140,AT2G19570
Bra001224,AT3G06890
Bra023582,AT5G16750
Bra035150,AT1G80820
Bra002833,AT5G56230
Bra038614,AT5G63180
Bra017021,AT2G40260
Bra018514,AT4G03220
Bra010454,AT5G52530
Bra007861,AT2G24320
Bra033962,AT1G50410
Bra039578,AT1G35720
Bra030411,AT1G51870
Bra011182,AT1G60570
Bra035784,AT3G20420
Bra003326,AT3G58180
Bra001655,AT3G17130
Bra026537,AT1G61500
Bra009516,AT5G03700
Bra000005,AT2G37550
Bra003959,AT1G70260
Bra030137,AT1G35220
Bra022308,AT3G18280
Bra028292,AT3G11100
Bra018411,AT5G40520
Bra021451,AT2G47950
Bra001100,AT3G04290
Bra008551,AT1G01050
Bra016355,AT1G23260
Bra015179,AT2G06000
Bra011327,AT4G32180
Bra015445,AT1G05630
Bra003945,AT1G70720
Bra009749,AT5G24313
Bra009450,AT5G04480
Bra031508,AT1G60450
Bra028653,AT3G15880
Bra040454,AT5G42220
Bra004963,AT2G40410
Bra009348,AT3G52350
Bra000800,AT4G04500
Bra002464,AT5G60640
Bra024694,AT1G26690
Bra027439,AT1G47830
Bra004606,AT2G41210
Bra033676,AT5G43360
Bra021146,AT3G15930
Bra030471,AT3G18870
Bra035724,AT5G51100
Bra032199,AT1G44100
Bra031946,AT3G04090
Bra002820,AT5G50270
Bra025741,AT1G19480
Bra008861,AT5G13050
Bra032884,AT1G50870
Bra030620,AT1G05680
Bra013399,AT4G19460
Bra031930,AT5G41770
Bra001577,AT3G14990
Bra000390,AT2G45510
Bra025929,AT1G18150
Bra031261,AT3G21200
Bra016070,AT1G72290
Bra038089,AT4G15160
Bra022774,AT2G30050
Bra036814,AT3G51360
Bra003899,AT1G72050
Bra022186,AT3G16910
Bra018918,AT1G51610
Bra011236,AT4G30960
Bra010135,AT5G62930
Bra012237,AT1G76340
Bra016893,AT2G42150
Bra008199,AT1G47620
Bra023669,AT5G18270
Bra028845,AT5G03500
Bra028523,AT5G42050
Bra018263,AT2G31160
Bra035624,AT5G56510
Bra003879,AT1G72470
Bra039097,AT3G27000
Bra007825,AT3G63520
Bra022920,AT2G25450
Bra010224,AT4G31720
Bra008286,AT1G76890
Bra038902,AT3G51490
Bra006609,AT5G22070
Bra026579,AT2G02810
Bra011551,AT4G34670
Bra011090,AT4G29230
Bra040729,AT1G13610
Bra023122,AT1G30700
Bra004101,AT1G66970
Bra001384,AT3G10986
Bra037786,AT5G64640
Bra037611,AT3G44940
Bra033926,AT4G29090
Bra008752,AT5G14550
Bra002687,AT5G57880
Bra022474,AT1G65510
Bra035344,AT1G10000
Bra021862,AT2G33585
Bra019197,AT4G25010
Bra021256,AT3G17580
Bra013804,AT4G24460
Bra000645,AT1G43080
Bra028655,AT5G08430
Bra002501,AT5G60250
Bra026829,AT1G14450
Bra012197,AT4G38920
Bra019409,AT3G25510
Bra033273,AT1G01260
Bra021579,AT3G14840
Bra032586,AT1G02780
Bra008673,AT5G15802
Bra036988,AT4G33720
Bra038644,AT5G63550
Bra039682,AT1G53600
Bra013682,AT4G23290
Bra022302,AT5G59540
Bra034458,AT1G33970
Bra024744,AT1G25460
Bra024346,AT5G65020
Bra020764,AT3G06190
Bra000294,AT2G43180
Bra017028,AT4G03170
Bra016266,AT1G69780
Bra012675,AT4G17100
Bra021011,AT4G18395
Bra037205,AT2G13290
Bra037148,AT5G66800
Bra002216,AT5G19140
Bra030855,AT1G55520
Bra008909,AT5G12190
Bra038812,AT4G12120
Bra034612,AT4G34160
Bra014042,AT1G45160
Bra008408,AT1G79360
Bra020004,AT1G09645
Bra018986,AT1G52760
Bra024896,AT2G01220
Bra005353,AT2G35300
